name,processor,ram,storage,display,graphics,prices
LenovoLegionPro5AIPoweredGamingLaptop,IntelCoreUltra7,32GBRAM,1TBSSD,16Inch(40.64cm)WQXGAOLEDDisplay,8GB-NVIDIAGeForceRTX5060Graphics,"2,14,999"
DellAlienware16AuroraGamingLaptop,IntelCore7,16GBRAM,1TBSSD,16Inch(40.64cm)WQXGADisplay,8GB-NVIDIAGeForceRTX5060Graphics,"1,59,990"
AcerAspireLiteAL15-41ThinandLightLaptop,AMDRyzen3,8GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,AMDRadeonGraphics,"52,599"
SamsungGalaxyBook6,IntelCoreUltra7,16GBRAM,512GBSSD,16Inch(40.62cm)WUXGADisplaywithTouchscreen,IntelGraphics,"1,31,990"
SamsungGalaxyBook6,IntelCoreUltra5,16GBRAM,512GBSSD,16Inch(40.62cm)WUXGADisplaywithTouchscreen,IntelGraphics,"1,23,990"
SamsungGalaxyBook6,IntelCoreUltra7,16GBRAM,512GBSSD,16Inch(40.62cm)WUXGAAnti-GlareDisplay,IntelGraphics,"1,27,990"
SamsungGalaxyBook6,IntelCoreUltra7,16GBRAM,512GBSSD,14Inch(35.56cm)WUXGAAnti-GlareDisplay,IntelGraphics,"1,24,990"
SamsungGalaxyBook6,IntelCoreUltra5,16GBRAM,512GBSSD,14Inch(35.56cm)WUXGAAnti-GlareDisplay,IntelGraphics,"1,12,990"
LenovoLOQ15IRX10GamingLaptop,13thGenIntelCorei7,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,8GB-NVIDIAGeForceRTX5050Graphics,"1,23,999"
LenovoIdeaPadSlim315IRH10Laptop,13thGenIntelCorei5,16GBRAM,512GBSSD,15.3Inch(38.86cm)WUXGADisplay,IntelUHDGraphics,"71,499"
LenovoLOQ15IRX9GamingLaptop,13thGenIntelCorei7,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,6GB-NVIDIAGeForceRTX4050Graphics,"1,21,999"
LenovoLOQ15ARP10EGamingLaptop,AMDRyzen7,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,6GB-NVIDIAGeForceRTX3050Graphics,"97,499"
AsusVivobook15Laptop,IntelCore3,8GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelGraphics,"53,990"
AsusVivobookS14OLEDLaptop,IntelCoreUltra5,16GBRAM,512GBSSD,14Inch(35.56cm)FHD+Display,IntelArcGraphics,"81,990"
HPLaptop,IntelCore5,16GBRAM,512GBSSD,15.6Inch(39.62cm)FHDDisplay,IntelGraphics,"69,599"
