Brand,processor_brand,processor_series,processor_tier,ram,storage,screen_size,display_type,gpu_brand,gpu_model,vram,prices
Lenovo,Intel,Core Ultra,7,32,1TB,16,WQXGA,Integrated,Integrated,0,214999
Dell,Intel,Core,7,16,1TB,16,WQXGA,Integrated,Integrated,0,159990
Acer,AMD,Ryzen,3,8,512GB,15.6,FHD,Integrated,Integrated,0,52599
Samsung,Intel,Core Ultra,7,16,512GB,16,WUXGA,Integrated,Integrated,0,131990
Samsung,Intel,Core Ultra,5,16,512GB,16,WUXGA,Integrated,Integrated,0,123990
Samsung,Intel,Core Ultra,7,16,512GB,16,WUXGA,Integrated,Integrated,0,127990
Samsung,Intel,Core Ultra,7,16,512GB,14,WUXGA,Integrated,Integrated,0,124990
Samsung,Intel,Core Ultra,5,16,512GB,14,WUXGA,Integrated,Integrated,0,112990
Lenovo,Intel,Core i,i7,16,512GB,15.6,FHD,Integrated,Integrated,0,123999
Lenovo,Intel,Core i,i5,16,512GB,15.3,WUXGA,Integrated,Integrated,0,71499
Lenovo,Intel,Core i,i7,16,512GB,15.6,FHD,Integrated,Integrated,0,121999
Lenovo,AMD,Ryzen,7,16,512GB,15.6,FHD,Integrated,Integrated,0,97499
Asus,Intel,Core,3,8,512GB,15.6,FHD,Integrated,Integrated,0,53990
Asus,Intel,Core Ultra,5,16,512GB,14,FHD+,Integrated,Integrated,0,81990
HP,Intel,Core,5,16,512GB,15.6,FHD,Integrated,Integrated,0,69599
HP,Intel,Core Ultra,7,24,1TB,16,2K,Integrated,Integrated,0,154999
Asus,Intel,Core Ultra,9,32,1TB,14,FHD+,Integrated,Integrated,0,145990
Asus,AMD,Ryzen,7,16,512GB,16,WQXGA,Integrated,Integrated,0,108990
Asus,AMD,Ryzen AI,5,16,512GB,14,FHD+,Integrated,Integrated,0,61990
HP,Intel,Core Ultra,7,24,1TB,14,FHD,Integrated,Integrated,0,89999
HP,Intel,Core,5,24,512GB,15.6,FHD,Integrated,Integrated,0,94426
Samsung,Intel,Core Ultra,7,32,1TB,14,WQXGA+,Integrated,Integrated,0,291190
Samsung,Intel,Core Ultra,7,32,1TB,14,WQXGA+,Integrated,Integrated,0,204990
Samsung,Intel,Core Ultra,7,16,512GB,14,WQXGA+,Integrated,Integrated,0,178990
Lenovo,Intel,Core i,i7,16,512GB,15.3,WUXGA,Integrated,Integrated,0,78999
Dell,Intel,Core,3,8,512GB,15.6,FHD,Integrated,Integrated,0,49999
HP,AMD,Ryzen,5,16,512GB,14,FHD,Integrated,Integrated,0,51999
Dell,Intel,Core i,i5,16,512GB,15.6,FHD,Integrated,Integrated,0,84999
Acer,Intel,Core,5,16,512GB,15.6,FHD,Integrated,Integrated,0,60599
Lenovo,Intel,Core Ultra,7,32,1TB,16,WQXGA,Integrated,Integrated,0,214999
Dell,Intel,Core,7,16,1TB,16,WQXGA,Integrated,Integrated,0,159990
Acer,AMD,Ryzen,3,8,512GB,15.6,FHD,Integrated,Integrated,0,52599
Samsung,Intel,Core Ultra,7,16,512GB,16,WUXGA,Integrated,Integrated,0,131990
Samsung,Intel,Core Ultra,5,16,512GB,16,WUXGA,Integrated,Integrated,0,123990
Samsung,Intel,Core Ultra,7,16,512GB,16,WUXGA,Integrated,Integrated,0,127990
Samsung,Intel,Core Ultra,7,16,512GB,14,WUXGA,Integrated,Integrated,0,124990
Samsung,Intel,Core Ultra,5,16,512GB,14,WUXGA,Integrated,Integrated,0,112990
Lenovo,Intel,Core i,i7,16,512GB,15.6,FHD,Integrated,Integrated,0,123999
Lenovo,Intel,Core i,i5,16,512GB,15.3,WUXGA,Integrated,Integrated,0,71499
Lenovo,Intel,Core i,i7,16,512GB,15.6,FHD,Integrated,Integrated,0,121999
Lenovo,AMD,Ryzen,7,16,512GB,15.6,FHD,Integrated,Integrated,0,97499
Asus,Intel,Core,3,8,512GB,15.6,FHD,Integrated,Integrated,0,53990
Asus,Intel,Core Ultra,5,16,512GB,14,FHD+,Integrated,Integrated,0,81990
HP,Intel,Core,5,16,512GB,15.6,FHD,Integrated,Integrated,0,69599
HP,Intel,Core Ultra,7,24,1TB,16,2K,Integrated,Integrated,0,154999
Asus,Intel,Core Ultra,9,32,1TB,14,FHD+,Integrated,Integrated,0,145990
Asus,AMD,Ryzen,7,16,512GB,16,WQXGA,Integrated,Integrated,0,108990
Asus,AMD,Ryzen AI,5,16,512GB,14,FHD+,Integrated,Integrated,0,61990
HP,Intel,Core Ultra,7,24,1TB,14,FHD,Integrated,Integrated,0,89999
HP,Intel,Core,5,24,512GB,15.6,FHD,Integrated,Integrated,0,94426
Samsung,Intel,Core Ultra,7,32,1TB,14,WQXGA+,Integrated,Integrated,0,291190
Samsung,Intel,Core Ultra,7,32,1TB,14,WQXGA+,Integrated,Integrated,0,204990
Samsung,Intel,Core Ultra,7,16,512GB,14,WQXGA+,Integrated,Integrated,0,178990
Lenovo,Intel,Core i,i7,16,512GB,15.3,WUXGA,Integrated,Integrated,0,78999
Dell,Intel,Core,3,8,512GB,15.6,FHD,Integrated,Integrated,0,49999
HP,AMD,Ryzen,5,16,512GB,14,FHD,Integrated,Integrated,0,51999
Dell,Intel,Core i,i5,16,512GB,15.6,FHD,Integrated,Integrated,0,84999
Acer,Intel,Core,5,16,512GB,15.6,FHD,Integrated,Integrated,0,60599
Asus,AMD,Ryzen,5,16,512GB,15.6,FHD,Integrated,Integrated,0,48990
HP,AMD,Ryzen,5,16,512GB,15.6,FHD,Integrated,Integrated,0,54999
HP,Intel,Core,5,24,512GB,15.6,FHD,Integrated,Integrated,0,68499
Lenovo,Intel,Core i,i7,16,1TB,15.6,Full HD,Integrated,Integrated,0,154999
Lenovo,AMD,Ryzen,7,16,1TB,15.6,FHD,Integrated,Integrated,0,139999
HP,AMD,Ryzen,3,8,512GB,15.6,Full HD,Integrated,Integrated,0,48499
HP,Intel,Core i,i3,8,512GB,15.6,Full HD,Integrated,Integrated,0,57999
Dell,Intel,Core,3,8,512GB,15.6,FHD,Integrated,Integrated,0,49990
HP,Intel,Core,3,24,512GB,15.6,FHD,Integrated,Integrated,0,52990
HP,Intel,Core,5,16,512GB,14,FHD,Integrated,Integrated,0,63990
Dell,Intel,Core Ultra,7,16,512GB,14,2.5K,Integrated,Integrated,0,101999
Lenovo,Intel,Core i,i5,16,512GB,15.3,WUXGA,Integrated,Integrated,0,72999
ASUS,AMD,Ryzen,9,16,1TB,16,FHD+,NVIDIA,RTX 5050,0,173990
Lenovo,AMD,Ryzen,5,16,512GB,15.6,Full HD,Integrated,Integrated,0,53999
HP,AMD,Ryzen,7,16,1TB,15.6,FHD,Integrated,Integrated,0,91499
Dell,Intel,Core i,i5,16,1TB,15.6,FHD,Integrated,Integrated,0,74999
HP,Intel,Core Ultra,5,24,1TB,15.6,FHD,Integrated,Integrated,0,77499
ASUS,Intel,Core,5,16,512GB,15.6,Full HD,Integrated,Integrated,0,68990
HP,Intel,Core i,i5,24,512GB,15.6,FHD,Integrated,Integrated,0,89999
ASUS,Intel,Core,5,16,512GB,16,Full HD,NVIDIA,RTX 3050,6,88990
HP,AMD,Ryzen,7,16,512GB,15.6,FHD,Integrated,Integrated,0,85499
Dell,Intel,Core Ultra,5,16,512GB,14,FHD+,Integrated,Integrated,0,99990
Dell,Intel,Core Ultra,5,16,512GB,14,2.5K,Integrated,Integrated,0,86999
Acer,Intel,Core i,i5,16,512GB,16,WUXGA,Integrated,Integrated,0,86999
Acer,Intel,Core i,i7,16,512GB,15.6,FHD,Integrated,Integrated,0,112599
